Kraj,Stolica,Język urzędowy,Całkowita powierzchnia,Liczba ludności,PKB na osobę,Ciekawostka
Polska,Warszawa,polski,312696,38179800,17318,Jedną z tradycyjnych potraw jest bigos
Niemcy,Berlin,niemiecki,357578,83019200,50842,W Bawarii piwo jest oficjalnie klasyfikowane jako "jedzenie"
Białoruś,Mińsk,białoruski,207595,9413446,5760,Ziemniak to najpopularniejsze warzywo białoruskich stołów. Spejaliści są w stanie przygotować 2000 potraw z wykorzystaniem ziemniaka
Ukraina,Kijów,ukraiński,603700,41167336,3880,Narodową potrawą jest barszcz
Szwecja,Sztokholm,szwedzki,450295,10327789,53867,Oficjalne konto Szwecji na Twitterze co tydzień prowadzone jest przez innego obywatela wybieranego losowo
Norwegia,Oslo,norweski,385207,5425270,74822,Ponad 98 % energii elektrycznej wytwarzanej w Norwegii pochodzi z ekologicznych źródeł
Francja,Paryż,francuski,643801,67522000,45474,Powiedzenie „na zdrowie” wywodzi się z Francji. Gdy w kraju szalała dżuma kichanie było jednym z symptomów zwiastujące zdrowienie pacjenta
Czechy,Praga,czeski,78868,10649800,20152,W czeskich szkołach 5 to najniższa ocena a 1 to najwyższa
Słowacja,Bratysława,słowacki,49035,5445802,21529,Najwyższym punktem na Słowacji jest Gerlach – szczyt znajdujący się w Tatrach
Włochy,Rzym,włoski,302073,60483973,35914,Włosi są znani z komunikowania się za pomocą niezwykle bogatych gestów rękoma
